# Derived from @webref/elements 2.8.0; see README.md for provenance and update policy.
# Obsolete elements whose Webref href targets obsolete.html are excluded.
name	kind	interface	specification
bdi	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdi-element
bdo	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-bdo-element
span	NORMAL	HTMLSpanElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-span-element
br	VOID	HTMLBRElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-br-element
wbr	VOID	HTMLElement	https://html.spec.whatwg.org/multipage/text-level-semantics.html#the-wbr-element
ins	NORMAL	HTMLModElement	https://html.spec.whatwg.org/multipage/edits.html#the-ins-element
del	NORMAL	HTMLModElement	https://html.spec.whatwg.org/multipage/edits.html#the-del-element
picture	NORMAL	HTMLPictureElement	https://html.spec.whatwg.org/multipage/embedded-content.html#the-picture-element
source	VOID	HTMLSourceElement	https://html.spec.whatwg.org/multipage/embedded-content.html#the-source-element
img	VOID	HTMLImageElement	https://html.spec.whatwg.org/multipage/embedded-content.html#the-img-element
iframe	RAW_TEXT	HTMLIFrameElement	https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-iframe-element
embed	VOID	HTMLEmbedElement	https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-embed-element
object	NORMAL	HTMLObjectElement	https://html.spec.whatwg.org/multipage/iframe-embed-object.html#the-object-element
video	NORMAL	HTMLVideoElement	https://html.spec.whatwg.org/multipage/media.html#video
audio	NORMAL	HTMLAudioElement	https://html.spec.whatwg.org/multipage/media.html#audio
track	VOID	HTMLTrackElement	https://html.spec.whatwg.org/multipage/media.html#the-track-element
map	NORMAL	HTMLMapElement	https://html.spec.whatwg.org/multipage/image-maps.html#the-map-element
area	VOID	HTMLAreaElement	https://html.spec.whatwg.org/multipage/image-maps.html#the-area-element
table	NORMAL	HTMLTableElement	https://html.spec.whatwg.org/multipage/tables.html#the-table-element
caption	NORMAL	HTMLTableCaptionElement	https://html.spec.whatwg.org/multipage/tables.html#the-caption-element
colgroup	NORMAL	HTMLTableColElement	https://html.spec.whatwg.org/multipage/tables.html#the-colgroup-element
col	VOID	HTMLTableColElement	https://html.spec.whatwg.org/multipage/tables.html#the-col-element
tbody	NORMAL	HTMLTableSectionElement	https://html.spec.whatwg.org/multipage/tables.html#the-tbody-element
thead	NORMAL	HTMLTableSectionElement	https://html.spec.whatwg.org/multipage/tables.html#the-thead-element
tfoot	NORMAL	HTMLTableSectionElement	https://html.spec.whatwg.org/multipage/tables.html#the-tfoot-element
tr	NORMAL	HTMLTableRowElement	https://html.spec.whatwg.org/multipage/tables.html#the-tr-element
td	NORMAL	HTMLTableCellElement	https://html.spec.whatwg.org/multipage/tables.html#the-td-element
th	NORMAL	HTMLTableCellElement	https://html.spec.whatwg.org/multipage/tables.html#the-th-element
form	NORMAL	HTMLFormElement	https://html.spec.whatwg.org/multipage/forms.html#the-form-element
label	NORMAL	HTMLLabelElement	https://html.spec.whatwg.org/multipage/forms.html#the-label-element
input	VOID	HTMLInputElement	https://html.spec.whatwg.org/multipage/input.html#the-input-element
button	NORMAL	HTMLButtonElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-button-element
select	NORMAL	HTMLSelectElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-select-element
datalist	NORMAL	HTMLDataListElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-datalist-element
optgroup	NORMAL	HTMLOptGroupElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-optgroup-element
option	NORMAL	HTMLOptionElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-option-element
textarea	ESCAPABLE_RAW_TEXT	HTMLTextAreaElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-textarea-element
output	NORMAL	HTMLOutputElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-output-element
progress	NORMAL	HTMLProgressElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-progress-element
meter	NORMAL	HTMLMeterElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-meter-element
fieldset	NORMAL	HTMLFieldSetElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-fieldset-element
legend	NORMAL	HTMLLegendElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-legend-element
selectedcontent	NORMAL	HTMLSelectedContentElement	https://html.spec.whatwg.org/multipage/form-elements.html#the-selectedcontent-element
details	NORMAL	HTMLDetailsElement	https://html.spec.whatwg.org/multipage/interactive-elements.html#the-details-element
summary	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/interactive-elements.html#the-summary-element
dialog	NORMAL	HTMLDialogElement	https://html.spec.whatwg.org/multipage/interactive-elements.html#the-dialog-element
script	RAW_TEXT	HTMLScriptElement	https://html.spec.whatwg.org/multipage/scripting.html#script
noscript	NORMAL	HTMLElement	https://html.spec.whatwg.org/multipage/scripting.html#the-noscript-element
template	NORMAL	HTMLTemplateElement	https://html.spec.whatwg.org/multipage/scripting.html#the-template-element
slot	NORMAL	HTMLSlotElement	https://html.spec.whatwg.org/multipage/scripting.html#the-slot-element
canvas	NORMAL	HTMLCanvasElement	https://html.spec.whatwg.org/multipage/canvas.html#canvas
